title,description,time_to_paste,location,price,link
ЦЕНТРЦИРК ,ЦЕНТР СРОЧНО РАЙОН ЦИРКА  ВЫСОКИЕ ПОТОЛКИ  3 ком 1...,16 sag öň,Ашхабад,,https://tmcars.info/others/4247229757/tsentrtsirk
3-ком 1-этаж 83 м² Центр ,Продаётся️Центр Шевченко Мечеть  Дом Болгарского типа  ️️️ Большая...,16 sag öň,Ашхабад,,https://tmcars.info/others/4247173425/3-kom-1-etaj-83-m-tsentr
Элитка-Советская5эт3ком ,"По улице Советской, элитная 3-комнатная недвижимость, на 5-этаже, в оч...",28.02.2026,ул. Советская (Гарашсызлык шаёлы),90.000 TMT,https://tmcars.info/others/4241325896/elitka-sovetskaya5et3kom
Гаудан В (W) 1 Комнт ,Gaudan W (В) Miryñ Ugry 4 Etajny Dom 3 Etaj 1 Komnat 2 Edilen Mebel Te...,3 gün öň,Ашхабад,45.500 TMT,https://tmcars.info/others/4244416108/gaudan-v-w-1-komnt
10-njy mkr. 2 kom gowdan plan. ,10-njy mkr. Aýtakow köçä golaý. Gowdan plan.4 etaźly domynñ 3-nji etaź...,25.02.2026,10 мкр,,https://tmcars.info/others/4236150672/10-njy-mkr-2-kom-gowdan-plan
10-njy mkr. 3 kom. gowdan plan ,10-njy mkr. Daşoguz bazaryñ arkasy. 4 etaźly domyñ 3-nji etaźy 3 komna...,25.02.2026,Ашхабад,,https://tmcars.info/others/4235342873/10-njy-mkr-3-kom-gowdan-plan
10-njy mkr. 2 kom. ,10-njy mkr 27-nji mekdebe golaý. 4 etaźly domyñ 4-nji etaźy 2 komnat. ...,düýn,Ашхабад,,https://tmcars.info/others/4246397300/10-njy-mkr-2-kom
Мир 5  2 комн  ,Продаётся МИР 5 район Оптового базара  ️2 комнаты  ️5 этаж в 9 этажн...,2 gün öň,Мир 5,61.500 TMT,https://tmcars.info/others/4244885593/mir-5-2-komn
14 tapgyr elitka 3 kom ,Продаётся элитная квартира 14 Этап ! 3 ком. 11 этаж Дом от телекечи ! ...,düýn,Ашхабад,,https://tmcars.info/others/4246210349/14-tapgyr-elitka-3-kom
Гаудан В 3 комн аркач ,Продается квартира в р-не Гаудан В  АРКАЧ.   3 комн + столовая.    4...,düýn,Ашхабад,62.000 TMT,https://tmcars.info/others/4245998544/gaudan-v-3-komn-arkac
Мир 2/2 ,3 ком 9 этаж Напротив 5 ножки по Московского  Прописка пустая. Квадрат...,01.03.2026,Мир 2,59.000 TMT,https://tmcars.info/others/4227095867/mir-2-2
Satlyk: 5 mkr 1 kom ,Satlyk 1 kom 1 et 5 mkr orta remontly dokument tayyn   Bahasy : ...,27.02.2026,Ашхабад,,https://tmcars.info/others/4238892691/satlyk-5-mkr-1-kom
15 Tapgyr 3 kom 7 etaj ,Satlyk elitka 15 tapgyr 3 kom 7 etaj 186 m² arassa gos remont kottej t...,2 gün öň,Ашхабад,,https://tmcars.info/others/4245031976/15-tapgyr-3-kom-7-etaj
ЦЕНТР 1 ЭТАЖ2 КОМНАТЫ ,АЛИШЕРА НАВОИ-КЕМИНЕ 2-Х КОМНАТНАЯ КВАРТИРА НА 1-М ЭТАЖЕ С Р...,2 gün öň,Ким район,47.500 TMT,https://tmcars.info/others/4238905657/tsentr-1-etaj2-komnaty
Коттедж Люкс ,Продаётся коттедж район Ботанического сада  4 сотки земли  5 комнат  Б...,3 gün öň,Ашхабад,,https://tmcars.info/others/4244507235/kottedj-lyuks
satlyk 1 etaj 2 komnat Gaudan ,Gaudan W 4/1 etaj 2 komnat remontly hemme goşy galÿa 2 nji wyhydy acyk...,3 gün öň,Ашхабад,66.500 TMT,https://tmcars.info/others/4234938039/satlyk-1-etaj-2-komnat-gaudan
15 Tapgyr 4 etaž 3 komnat ,14 Tapgyr elitka 12/4 etazy 3 komnat kottež tarapda ýerleşýär bergisi ...,düýn,Ашхабад,,https://tmcars.info/others/4246631150/15-tapgyr-4-etaz-3-komnat
Mir7 3komnat ,EŸESI OZUM MIR7 7ETAJ 3KOMNAT INÇE PRIHOJKA GOS REMONT ICI BOŠ DOKUMEN...,3 gün öň,Мир 7,58 TMT,https://tmcars.info/others/4244086227/mir7-3komnat
1 комнат не дорого ️ ,Хитровка Грибоедова 2/2эт 1в2ком 40м2 открытые подъезды без ремонта пр...,02.03.2026,Хитровка,28 TMT,https://tmcars.info/others/4242954361/1-komnat-ne-dorogo
🟥30-Мкр 1 Этаж Гауданка🟥 ,🟥СРОЧНО 30-МКР В КРУПНО ПАНЕЛЬНОМ ДОМЕ  🟥НА 1-ОМ ЭТАЖЕ 1/2 КОМНАТНАЯ...,3 gün öň,Ашхабад,37.500 TMT,https://tmcars.info/others/4244501743/30-mkr-1-etaj-gaudanka
 1 ком 1 эт  30 мкр  ,СРОЧНО ПРОДАЕТСЯ КВАРТИРА В 30 МКР НА 1 ЭТАЖЕ В СРЕДНЕМ СОСТОЯНИИ 1 ко...,26.02.2026,30 мкр,1 TMT,https://tmcars.info/others/4240160026/1-kom-1-et-30-mkr
elitka 3 komnat 3 etaź ,"Продаю от хозяина 3 комнатную элитку на 3 этаже в 12 этажном доме, рай...",01.03.2026,Ашхабад,,https://tmcars.info/others/4240680382/elitka-3-komnat-3-etaz
️ШЕВЧЕНКО 1 ЭТАЖ 2 КОМНАТНАЯ ,️ШЕВЧЕНКО ПАНЕЛЬКА НА 1-ОМ ЭТАЖЕ 2 КОМНТ  ️ПОСЛЕ РЕМОНТА С МЕБЕЛЬЮ И...,2 gün öň,Ашхабад,64.000 TMT,https://tmcars.info/others/4244907954/shevcenko-1-etaj-2-komnatnaya
14 TAPGYR 5 ETAZ 4 KOMNAT ,14 tapgyr elitka ( Sawhoznyy koce ) 5 etaz 4 komnat 212m2 gos remontly...,01.03.2026,Ашхабад,,https://tmcars.info/others/4233763182/14-tapgyr-5-etaz-4-komnat
"Гоголя, 2 комнаты ","Гоголя - Гурбансолтан эдже,  2 комнаты, 8 этаж, 86м², в чистом состоян...",19 sag öň,Ашхабад,,https://tmcars.info/others/4192045572/gogolya-2-komnaty
 AMATLY 2-KOM ,10-мкр 4-х этажный крупнопанельный дом 2-й этаж 2-комнатЫ с ремонтом м...,2 gün öň,10 мкр,,https://tmcars.info/others/4242375952/amatly-2-kom
13 Tapgyr 5 kom ,Amatly!  Срочно! Gyssagly  13 Tapgyr ministerstwo! 2 etaj  5 komnat  2...,3 gün öň,Ашхабад,,https://tmcars.info/others/4207967198/13-tapgyr-5-kom
10mkr 1etaz 2kom ewro ,"Продаю квартиру  10 мкр 1 этаж 2 комнаты  2 санузла 2 душевой  Двор , ...",3 gün öň,Ашхабад,,https://tmcars.info/others/4231321923/10mkr-1etaz-2kom-ewro
5mkr 3/4komnat 2etaz ,5mkr hudayberdiyewa golay 3/2etaz 3komnat 4edilen kosmetiçiskiy remont...,3 gün öň,Ашхабад,46 TMT,https://tmcars.info/others/4244143833/5mkr-3-4komnat-2etaz
Свобода 3 ком Люкс ,Продаётся квартира ул.Свобода  район ТЦ. Аркач ! 4в3 ком. 3 этаж 72м2....,şu wagt,Ашхабад,,https://tmcars.info/others/4218965957/svoboda-3-kom-lyuks
2МКР 3эт 2ком 56м2 Ипотека , Продаётся Квартира Срочно МОЖНО В ИПОТЕКУ   2МКР Сурикова Атабаев...,2 gün öň,Ашхабад,43.000 TMT,https://tmcars.info/others/4224569053/2mkr-3et-2kom-56m2-ipoteka
90 razyezd Bagyr  Bekrewe Gokj ,EYESINDEN  ACYK SOWDA  90 razyezd  7 sotok yeri  plan jay 3 kom + kuhn...,2 gün öň,Рухабат (90-й разьезд),60.000 TMT,https://tmcars.info/others/4245291809/90-razyezd-bagyr-bekrewe-gokj
Свобода 1 этаж 1 ком ,Район Копетдаг Ресторана  Свобода 1 этаж 1 ком переделанная в2ух В с...,15 sag öň,Ашхабад,37.500 TMT,https://tmcars.info/others/4247245024/svoboda-1-etaj-1-kom
3 ком 3 мкр ,3 мкр 3 этажный дом 1 этаж 3 комнаты 64м² средний ремонт 2 выхода подв...,düýn,3 мкр,47.700 TMT,https://tmcars.info/others/4246882322/3-kom-3-mkr
️5мкр 2эт 3ком 64м2 Срочно️ , Продаётся Квартира Срочно   5мкр по Карбышова возле школы   3эт...,18 sag öň,Ашхабад,46.500 TMT,https://tmcars.info/others/4247124877/5mkr-2et-3kom-64m2-srocno
Gurtly 4kom 3etaj ,Gurtly Badly Bazaryn yany 4kom 155m2 3etaj arassa remont baha 99.999...,düýn,Ашхабад,,https://tmcars.info/others/4241565298/gurtly-4kom-3etaj
3mkr gaudanka 1kom 2 edilen 3м ,3Mkr  Gaudanka  4/3 etaz  1 kom 2 edilen 46 m² remont ortaca arassa  d...,düýn,3 мкр,37.500 TMT,https://tmcars.info/others/4246617921/3mkr-gaudanka-1kom-2-edilen-3m
Taslama ,Taslama Turk firman yeri gowy centir 2 komnat 96m² arassa remont dokum...,düýn,Ашхабад,,https://tmcars.info/others/4246135133/taslama
3 Mkr  3 kom 1 Etaj ,3 Mkr 3 Mkr 1 Etaj 3 komnat 2 vyhydly + podwal  Remont arassa gosy Bol...,düýn,Ашхабад,,https://tmcars.info/others/4221182856/3-mkr-3-kom-1-etaj
SVOBODA 2x3 KOMNAT EVRO REMONT ,"Свобода 12 школа 2/2 этаж Высокий потолок 2в3 комнаты, ремонт евро, те...",düýn,Ашхабад,,https://tmcars.info/others/4241476799/svoboda-2x3-komnat-evro-remont
2komnat satlyk jay 30 mkr ,30 mkr 3 etaz 2 komnat 56 m² yewro remont  remontdan son yasalmadyk  d...,11 sag öň,Ашхабад,47.500 TMT,https://tmcars.info/others/4245127220/2komnat-satlyk-jay-30-mkr
2 КОМ КВ ГАУДАН В ЛЮКС РЕМОНТ ,ПРОДАЖА 2 КОМ КВ ГАУДАН В  НА 4 ЭТАЖЕ ЛЮКС РЕМОНТ ВСЯ МЕБЕЛЬ...,düýn,"Гаудан ""В""",72.500 TMT,https://tmcars.info/others/4246298196/2-kom-kv-gaudan-v-lyuks-remont
Gokje full plan jay ,Gokje full plan jay 4sotok 3komnat 150m² taze galdyrylandan son hichil...,düýn,Гёкдже,135.000 TMT,https://tmcars.info/others/4233821645/gokje-full-plan-jay
2kom 3etaj 30mkr ,2в3комнаты 3этаж 30мкр.  Квартира после косметического ремонта.  Мебел...,18 sag öň,Ашхабад,42.200 TMT,https://tmcars.info/others/4247127267/2kom-3etaj-30mkr
3мкр 4ком АТАБАЕВА ,3мкр по АТАБАЕВА  3/3эт 4ком  КОСМЕТ.РЕМ  Ламинат +обои Имеется видеон...,düýn,Ашхабад,53.000 TMT,https://tmcars.info/others/4244002056/3mkr-4kom-atabaeva
30-Mkr. ½-Kom.Kwartira ,"GyssaglySatýan30-Nji Mikroraýon""Ozan"" markedyň ýanynda., 1-(bi...",18 sag öň,30 мкр,34.499 TMT,https://tmcars.info/others/4244908979/30-mkr-komkwartira
Московский Беркарар 3 ком 6эт ,Продажа 3- комнатная квартира на шестом этаже Московский рядом т.ц. Бе...,02.03.2026,Ашхабад,,https://tmcars.info/others/4211904135/moskovskii-berkarar-3-kom-6et
Мир 1 4 ком евро-люкс , ПРОДАЁТСЯ!  Уникальная квартира Аналогов нет! Квартира с авторск...,düýn,Мир 1,,https://tmcars.info/others/4238916078/mir-1-4-kom-evro-lyuks
Gurtly 4kom full remont lifitl ,Satlyk Gurtly pol Elitka 4 komnat 4-nji etaz Lifitli 2017 -nji ÿyl  Fu...,26.02.2026,Ашхабад,,https://tmcars.info/others/4228665163/gurtly-4kom-full-remont-lifitl
MIR 2 FULL️ 4/2 ET 3 KOMNAT ,SATLYK MIR 2 4/2 ETAJ 3 KOMNAT 76 KW FULL REMONT MEBEL TEHNIKA BAHA BE...,16 sag öň,Мир 2,76.000 TMT,https://tmcars.info/others/4247178700/mir-2-full-4-2-et-3-komnat
14Tapgyr 3 kom Eyesi ,14TAPGYR 10 et 3 komnat 190m² s remontom   dokumenty tayyar prapiska b...,2 gün öň,Ашхабад,,https://tmcars.info/others/4245845992/14tapgyr-3-kom-eyesi
1 КОМН 4 МКР 1 ЭТАЖ ,СРОЧНО ПРОДАЮ 1 КОМНАТНУЮ КВАРТИРУ В 4 МКР ПО АТАБАЕВА НА ПРОТИВ НОВОЙ...,13 sag öň,Ашхабад,,https://tmcars.info/others/4247303295/1-komn-4-mkr-1-etaj
2КОМ 1ЭТ 65КВ² СВОБОДА ,30МКР СВОБОДА ВЫСОКИЙ ПОТОЛОК 3/1ЭТ 2КОМ 65КВ² ГОШ БОЛЕК ГАЛЙЯ ДОКУМЕН...,düýn,Ашхабад,55.800 TMT,https://tmcars.info/others/4246644153/2kom-1et-65kv-svoboda
Gurtly 4 komnat ️Yewro -Lux️ ,Gurtly 4 komnat 150m² 4/3-nji etazy Lux remont 0-dan edilen Hemme gosl...,16 sag öň,Ашхабад,118 TMT,https://tmcars.info/others/4247164639/gurtly-4-komnat-yewro-lux
gyssagly eyesinden ,"11mkr 50 mekdebiñ gapdaly 2kom aÿry komnatlar 2 etаż , remontly, hemme...",3 gün öň,Ашхабад,47.000 TMT,https://tmcars.info/others/4238922680/gyssagly-eyesinden
ДОМ АК АЛТЫН ,ПРОДАЕТСЯ  ДОМ 4.6 СОТОК ЗЕМЛИ  (ПОД СЛОМ) В РАЙОНЕ  АК АЛТЫНА  ВСЯ ДО...,düýn,Ашхабад,,https://tmcars.info/others/4211862264/dom-ak-altyn
Satlyk Çoganly Kottej ,Eyesinden Coganly 1_Nji Swtafor Yerine Soz Yok Kottej Mansardaly 6Komn...,23.02.2026,Чоганлы,135.000 TMT,https://tmcars.info/others/4237554715/satlyk-coganly-kottej
14 ЭТАП СОВХОЗНАЯ ,ПРОДАЕТСЯ  ПО УЛ.СОВХОЗНОЙ  14 ЭТАП  4 КОМНАТЫ  В ХОРОШЕМ СОСТОЯНИИ  2...,düýn,Ашхабад,,https://tmcars.info/others/4239338347/14-etap-sovhoznaya
ГУРТЛИ ,ПРОДАЕТСЯ  ГУРТЛИ  (2017 ГОД) 2 КОМНАТЫ  1 ЭТАЖ  98 КВАДРАТОВ  С РЕМОН...,düýn,Ашхабад,,https://tmcars.info/others/4246745396/gurtli
ГОГОЛЯ ,ПРОДАЕТСЯ    3 КОМНАТНАЯ ПОЛУЭЛИТНАЯ  КВАРТИРА  ПЕРЕДЕЛАННАЯ  В  4...,düýn,Ашхабад,,https://tmcars.info/others/4246746927/gogolya
2KOM BEYIK POTOL SWOBODA30MKR ,ГАТЫ АМАТЛЫ ПУРСАТ БЕЙИК ПОТОЛОК  ВЫСОКИЙ ПОТОЛОК 65КВ² 3/1ЭТАЖ 2КОМ С...,23 sag öň,Ашхабад,55.800 TMT,https://tmcars.info/others/4246905588/2kom-beyik-potol-swoboda30mkr
plan jay choganly ,"choganly pkan jay, 3 sotok, yashalmadyk hemme zady tayin, 3 svetofor s...",22 sag öň,Ашхабад,72.000 TMT,https://tmcars.info/others/4212365929/plan-jay-choganly
Mir 7/1  3kom Mir7 мир7 ,Mir  7/1    9/2  etažy  3komnat 86m²  Kwadrat prihoşka Gos remont  zal...,19 sag öň,Ашхабад,59.500 TMT,https://tmcars.info/others/4247011571/mir-7-1-3kom-mir7-mir7
Kim rayon  2kom  Kimrayon ,Kimrayon  gowdanka 4/1 etažy   2komnat 64m² +podwal +agarod  2 çykalga...,20 sag öň,Ким район,63.500 TMT,https://tmcars.info/others/4245027806/kim-rayon-2kom-kimrayon
Taze Gurtly 3kom120m² liftli ,Gurtly   4/2 etažy 3komnat 120m²  liftli dom...Podýezde 2gapy...... ýe...,20 sag öň,Ашхабад,103.000 TMT,https://tmcars.info/others/4245197631/taze-gurtly-3kom120m-liftli
11 mkr 2 komnat panelny dom ,11 mkr 2 komnat +weranda 57.kw parawozik 4/4 etaz 2 nji proyez remontl...,13 sag öň,Ашхабад,42.500 TMT,https://tmcars.info/others/4246100296/11-mkr-2-komnat-panelny-dom
Taslama 2+1 komnat eyesinden ,Taslama Total firma 4/3etazy 2komnat + susilka aynaly 1komnat detskiy ...,12 sag öň,Ашхабад,71 TMT,https://tmcars.info/others/4226062448/taslama-21-komnat-eyesinden
Аталык Гурлушык.И.П. ,Paýly gurluşyk esasynda 3 ýyl möhlet bilen 2-3 otagly jaýlary berýäris...,12.01.2026,Дашогуз,,https://tmcars.info/others/3134534680/atalyk-gurlushykip
квартира мир 4 2 эт аркачка ,Мир 4 4/2 эт 2+1 столовая аркачка гос ремонт...,şu wagt,Ашхабад,62.000 TMT,https://tmcars.info/others/4247696579/kvartira-mir-4-2-et-arkacka
10мкр ,Гостинка 10 мкр напротив Ниязов больницы по Айтакова 4/2 этаж 1в2-комн...,şu wagt,10 мкр,31.300 TMT,https://tmcars.info/others/4247695969/10mkr
Satlyk jay 1mik 5ets 2kom eksm ,Mary saher 1mik Ýeniş fabirik yanda yol gyra 5ets 2kom ekismertalny Do...,şu wagt,Мары,535.000 TMT,https://tmcars.info/others/4236867036/satlyk-jay-1mik-5ets-2kom-eksm
Mir 3 ot Hozyaina ,Prodayotsya 3h komn kvartira. Rayon mir 3/2 Yubileynaya. Etaj 5. Obsha...,şu wagt,Мир 3,1 TMT,https://tmcars.info/others/4247689321/mir-3-ot-hozyaina
10 мкр 1 комн 2 этаж Госинка ,10 микрайон напротив Ниязовской больницы по Айтакова 4-этажный Панельн...,şu wagt,10 мкр,31.300 TMT,https://tmcars.info/others/4247686950/10-mkr-1-komn-2-etaj-gosinka
